date,date_and_time
2020-06-16,2020-06-18T10:50:44Z
2020-06-16,2020-06-18T18:43:25Z
2020-06-15,2020-06-20T04:21:29Z
2020-06-17,2020-06-18T14:59:26Z
2020-06-19,2020-06-15T04:26:26Z
2020-06-19,2020-06-15T12:08:25Z
2020-06-16,2020-06-19T02:19:05Z
2020-06-19,2020-06-19T19:00:13Z
2020-06-16,2020-06-15T14:04:29Z
2020-06-17,2020-06-20T17:04:29Z
2020-06-17,2020-06-15T00:56:09Z
2020-06-17,2020-06-17T00:23:26Z
2020-06-18,2020-06-16T04:37:11Z
2020-06-18,2020-06-18T09:53:18Z
2020-06-20,2020-06-15T05:10:47Z
2020-06-16,2020-06-20T19:31:00Z
2020-06-16,2020-06-17T07:33:24Z
2020-06-18,2020-06-20T20:35:42Z
2020-06-19,2020-06-18T13:35:47Z
2020-06-20,2020-06-18T18:35:27Z
2020-06-15,2020-06-15T18:05:33Z
2020-06-15,2020-06-16T05:11:15Z
2020-06-19,2020-06-16T01:42:43Z
2020-06-18,2020-06-17T16:15:53Z
2020-06-20,2020-06-20T02:13:55Z
2020-06-17,2020-06-18T14:17:54Z
2020-06-15,2020-06-19T14:46:11Z
2020-06-17,2020-06-15T21:57:33Z
2020-06-17,2020-06-18T03:41:42Z
2020-06-15,2020-06-17T10:52:09Z
2020-06-17,2020-06-15T17:24:27Z
2020-06-20,2020-06-16T16:16:15Z
2020-06-19,2020-06-16T11:16:41Z
2020-06-18,2020-06-15T07:21:18Z
2020-06-16,2020-06-16T20:10:08Z
2020-06-19,2020-06-17T13:34:13Z
2020-06-19,2020-06-15T00:34:03Z
2020-06-15,2020-06-16T16:23:42Z
2020-06-17,2020-06-16T17:53:18Z
2020-06-18,2020-06-16T05:41:50Z
2020-06-19,2020-06-15T00:27:04Z
2020-06-15,2020-06-20T11:00:11Z
2020-06-15,2020-06-20T02:51:27Z
2020-06-18,2020-06-17T07:30:22Z
2020-06-19,2020-06-20T07:28:09Z
2020-06-17,2020-06-17T03:05:44Z
2020-06-18,2020-06-18T10:55:11Z
2020-06-20,2020-06-15T12:51:00Z
2020-06-18,2020-06-17T04:05:23Z
2020-06-16,2020-06-15T01:40:35Z
2020-06-18,2020-06-19T01:04:00Z
2020-06-20,2020-06-16T02:38:29Z
2020-06-16,2020-06-16T10:50:15Z
2020-06-19,2020-06-15T06:23:43Z
2020-06-15,2020-06-15T21:53:49Z
2020-06-19,2020-06-15T18:07:41Z
2020-06-15,2020-06-16T04:40:00Z
2020-06-20,2020-06-17T00:01:41Z
2020-06-19,2020-06-19T07:33:34Z
2020-06-19,2020-06-19T23:17:26Z
2020-06-17,2020-06-19T15:04:09Z
2020-06-18,2020-06-20T22:20:06Z
2020-06-20,2020-06-17T03:02:09Z
2020-06-16,2020-06-16T07:51:20Z
2020-06-15,2020-06-18T21:39:43Z
2020-06-18,2020-06-18T06:51:22Z
2020-06-17,2020-06-15T00:25:43Z
2020-06-16,2020-06-18T08:35:51Z
2020-06-18,2020-06-19T01:06:15Z
2020-06-17,2020-06-17T06:40:28Z
2020-06-19,2020-06-15T04:13:45Z
2020-06-19,2020-06-17T03:06:18Z
2020-06-19,2020-06-17T14:39:46Z
2020-06-15,2020-06-19T13:39:46Z
2020-06-17,2020-06-15T12:44:43Z
2020-06-15,2020-06-20T21:27:45Z
2020-06-19,2020-06-20T10:28:41Z
2020-06-19,2020-06-20T13:54:30Z
2020-06-17,2020-06-20T03:26:40Z
2020-06-17,2020-06-18T11:15:23Z
2020-06-18,2020-06-15T03:01:12Z
2020-06-18,2020-06-20T20:40:34Z
2020-06-17,2020-06-19T20:36:24Z
2020-06-19,2020-06-20T21:19:34Z
2020-06-19,2020-06-16T14:15:30Z
2020-06-20,2020-06-19T03:26:51Z
2020-06-18,2020-06-19T07:52:39Z
2020-06-17,2020-06-16T00:26:23Z
2020-06-15,2020-06-19T19:03:16Z
2020-06-17,2020-06-16T11:41:39Z
2020-06-15,2020-06-17T01:24:39Z
2020-06-16,2020-06-18T00:29:40Z
2020-06-17,2020-06-16T07:39:39Z
2020-06-18,2020-06-19T14:30:22Z
2020-06-15,2020-06-16T08:30:50Z
2020-06-17,2020-06-19T03:34:50Z
2020-06-19,2020-06-18T10:52:22Z
2020-06-16,2020-06-16T18:10:58Z
2020-06-20,2020-06-20T18:55:50Z
2020-06-17,2020-06-19T15:40:41Z
2020-06-15,2020-06-17T09:46:12Z
2020-06-15,2020-06-19T16:44:41Z
2020-06-15,2020-06-17T19:57:19Z
2020-06-17,2020-06-18T03:53:07Z
2020-06-18,2020-06-16T18:26:18Z
2020-06-19,2020-06-18T12:08:35Z
2020-06-18,2020-06-15T23:42:16Z
2020-06-18,2020-06-18T13:04:02Z
2020-06-18,2020-06-15T21:42:08Z
2020-06-16,2020-06-19T18:20:47Z
2020-06-19,2020-06-16T14:31:43Z
2020-06-19,2020-06-20T14:21:24Z
2020-06-19,2020-06-17T22:46:04Z
2020-06-15,2020-06-19T01:42:49Z
2020-06-19,2020-06-15T10:07:09Z
2020-06-19,2020-06-16T05:27:55Z
2020-06-17,2020-06-15T22:27:06Z
2020-06-18,2020-06-15T05:30:33Z
2020-06-18,2020-06-17T06:09:13Z
2020-06-16,2020-06-18T14:58:00Z
2020-06-17,2020-06-17T18:05:07Z
2020-06-18,2020-06-15T18:57:42Z
2020-06-19,2020-06-19T15:58:23Z
2020-06-17,2020-06-18T00:24:22Z
2020-06-20,2020-06-20T22:48:21Z
2020-06-15,2020-06-17T08:59:28Z
2020-06-18,2020-06-16T17:18:22Z
2020-06-15,2020-06-18T02:03:40Z
2020-06-20,2020-06-15T07:18:57Z
2020-06-20,2020-06-19T20:26:00Z
2020-06-19,2020-06-15T09:47:10Z
2020-06-20,2020-06-18T18:07:18Z
2020-06-19,2020-06-16T04:58:38Z
2020-06-18,2020-06-17T17:45:21Z
2020-06-18,2020-06-15T21:46:34Z
2020-06-19,2020-06-15T13:10:32Z
2020-06-16,2020-06-18T11:18:50Z
2020-06-18,2020-06-18T23:56:18Z
2020-06-16,2020-06-18T08:25:02Z
2020-06-18,2020-06-19T01:12:25Z
2020-06-15,2020-06-17T20:06:33Z
2020-06-19,2020-06-16T21:35:45Z
2020-06-16,2020-06-15T12:41:59Z
2020-06-20,2020-06-18T13:10:42Z
2020-06-16,2020-06-18T00:56:52Z
2020-06-15,2020-06-18T09:26:40Z
2020-06-16,2020-06-15T22:55:38Z
2020-06-16,2020-06-16T19:48:50Z
2020-06-19,2020-06-15T05:53:03Z
2020-06-18,2020-06-18T03:47:57Z
2020-06-20,2020-06-20T11:51:20Z
2020-06-16,2020-06-15T08:40:26Z
2020-06-17,2020-06-16T07:59:56Z
2020-06-19,2020-06-18T03:27:42Z
2020-06-19,2020-06-19T05:32:39Z
2020-06-19,2020-06-16T20:09:21Z
2020-06-15,2020-06-15T02:55:58Z
2020-06-19,2020-06-15T22:00:41Z
2020-06-15,2020-06-20T17:28:17Z
2020-06-15,2020-06-15T09:54:54Z
2020-06-17,2020-06-17T21:14:15Z
2020-06-17,2020-06-19T09:18:47Z
