date,date_and_time
2019-09-25,2020-01-05T02:24:49Z
2020-05-30,2019-10-21T17:42:59Z
2019-12-22,2020-04-20T23:57:42Z
2019-11-05,2019-09-12T22:20:36Z
2020-06-20,2020-03-12T09:08:54Z
2019-09-22,2020-01-30T08:48:34Z
2019-10-13,2020-04-26T00:10:07Z
2020-02-21,2019-11-19T06:16:00Z
2019-10-05,2019-08-13T08:22:23Z
2020-03-11,2019-12-31T05:15:22Z
2020-06-17,2019-10-12T20:17:24Z
2019-10-12,2020-05-27T17:53:57Z
2019-08-20,2019-12-28T20:34:27Z
2020-03-08,2019-07-27T16:30:51Z
2020-03-27,2020-01-17T12:56:02Z
2019-11-20,2020-02-16T06:06:43Z
2019-08-19,2020-04-27T15:30:19Z
2020-02-07,2019-11-05T13:59:02Z
2019-11-25,2019-08-21T08:25:49Z
2019-10-11,2020-06-19T07:28:33Z
2020-03-02,2020-05-30T17:32:56Z
2019-12-13,2020-01-07T15:23:14Z
2019-12-14,2019-08-02T13:04:53Z
2019-12-31,2020-05-04T10:29:46Z
2019-07-20,2020-01-25T12:20:40Z
2019-08-26,2019-07-21T16:38:47Z
2020-05-26,2019-12-11T18:52:20Z
2019-09-28,2019-07-27T20:00:48Z
2020-03-22,2020-06-22T00:32:56Z
2019-12-14,2019-12-26T14:08:10Z
2019-07-01,2020-05-14T09:09:20Z
2019-11-08,2020-01-01T01:10:49Z
2020-03-05,2020-03-24T21:08:21Z
2020-01-28,2019-11-19T06:33:36Z
2020-03-04,2019-09-06T07:41:09Z
2020-04-16,2019-10-11T19:02:07Z
2019-07-16,2020-03-08T12:48:24Z
2020-06-08,2020-04-06T04:02:46Z
2020-03-26,2019-06-23T15:28:30Z
2019-11-08,2019-10-31T17:40:39Z
2020-05-07,2020-06-04T00:21:57Z
2019-12-09,2019-12-17T06:01:30Z
2020-04-29,2020-04-18T13:56:51Z
2019-11-09,2020-05-29T19:07:02Z
2019-11-10,2019-08-21T20:59:26Z
2019-11-16,2020-05-10T23:10:07Z
2020-01-09,2019-09-01T12:58:26Z
2019-08-02,2019-07-23T00:24:55Z
2020-04-15,2020-05-18T14:53:42Z
2020-03-15,2020-06-16T08:58:47Z
2019-08-12,2019-12-21T11:01:07Z
