date,date_and_time
2019-11-28,2019-07-29T03:39:31Z
2019-12-01,2020-03-29T16:53:37Z
2019-10-24,2020-01-28T06:29:46Z
2019-09-06,2019-12-23T00:36:52Z
2020-03-14,2019-08-28T11:40:51Z
2019-12-27,2020-05-19T22:01:30Z
2020-02-11,2019-09-20T02:35:57Z
2019-12-06,2020-03-08T02:08:54Z
2020-02-14,2020-03-21T06:04:00Z
2019-09-16,2019-12-02T23:09:21Z
2019-09-09,2020-03-02T01:15:54Z
2019-09-13,2019-07-12T15:27:09Z
2019-12-20,2019-09-11T13:10:31Z
2020-01-16,2020-03-07T11:49:13Z
2020-04-10,2020-02-03T13:04:50Z
2019-07-04,2020-01-08T21:14:35Z
2020-01-24,2020-03-21T17:47:11Z
2019-07-10,2019-11-20T14:57:16Z
2020-06-08,2019-06-27T07:32:09Z
2019-10-31,2019-12-27T03:02:15Z
2020-02-01,2020-01-16T06:07:52Z
2020-01-23,2020-03-04T18:21:01Z
2019-08-05,2020-03-26T03:04:08Z
2020-05-30,2019-08-21T01:24:07Z
2020-03-23,2020-03-21T10:30:40Z
2019-08-02,2019-08-24T16:12:06Z
2020-04-25,2020-04-12T21:46:13Z
2019-09-23,2019-12-02T10:13:29Z
2019-10-08,2019-10-02T22:45:24Z
2019-11-08,2020-03-15T08:55:00Z
2020-02-26,2019-07-22T06:18:24Z
2019-10-23,2019-11-02T11:22:57Z
2020-04-12,2019-08-14T20:09:07Z
2020-02-10,2019-09-15T03:25:42Z
2020-05-14,2019-12-23T21:17:42Z
2019-08-04,2019-06-29T21:20:49Z
2020-04-06,2020-01-08T03:41:59Z
2020-01-29,2019-07-26T07:24:17Z
2019-09-20,2020-06-08T05:33:42Z
2020-05-17,2020-01-18T05:11:30Z
2020-06-12,2019-07-19T03:50:08Z
2019-10-04,2020-02-10T20:36:04Z
2020-02-10,2019-11-29T00:54:00Z
2019-12-26,2019-10-02T08:32:33Z
2020-02-27,2019-07-04T23:18:31Z
2019-09-24,2020-01-31T16:38:32Z
2020-02-24,2020-03-21T07:02:23Z
2020-01-20,2020-01-19T19:01:20Z
2020-02-26,2020-03-09T05:51:39Z
2019-08-17,2019-09-25T05:08:23Z
2019-11-21,2019-12-17T18:46:33Z
2019-10-14,2019-09-13T05:26:05Z
2020-02-16,2019-10-31T00:11:10Z
2019-11-16,2019-09-18T06:29:00Z
2019-10-02,2020-04-19T13:08:45Z
2019-08-17,2019-07-29T12:27:44Z
2020-04-13,2020-03-31T01:41:00Z
2020-03-07,2020-05-22T18:37:37Z
2020-02-15,2019-09-23T10:29:20Z
2019-12-24,2020-02-10T15:45:41Z
2019-08-02,2020-05-15T17:53:05Z
2020-05-22,2019-06-20T20:32:22Z
2019-10-28,2019-07-30T03:38:38Z
2019-11-22,2020-01-14T20:04:43Z
2020-04-27,2020-05-22T13:51:11Z
2020-04-04,2020-01-30T05:20:49Z
2020-06-01,2020-04-05T01:14:03Z
2019-11-26,2019-11-13T22:28:15Z
2019-12-02,2019-08-09T00:33:22Z
2019-08-03,2019-11-08T23:38:47Z
2020-01-10,2020-06-02T19:24:08Z
2020-04-25,2019-08-19T13:28:36Z
2020-01-04,2020-01-04T04:59:16Z
2019-11-06,2019-06-28T06:44:11Z
2020-01-29,2020-02-19T01:19:53Z
2020-04-24,2020-01-20T21:42:32Z
2019-09-17,2020-04-23T12:28:20Z
2019-12-04,2019-08-09T00:23:31Z
2019-12-24,2020-04-14T12:52:30Z
2019-07-24,2020-04-17T13:36:14Z
2019-12-23,2020-03-28T07:16:56Z
2019-11-24,2019-08-18T19:19:50Z
2019-06-25,2019-10-12T18:18:17Z
2019-09-01,2019-07-23T11:45:40Z
2020-04-11,2019-08-26T11:52:47Z
2019-08-24,2020-01-19T12:55:58Z
2020-01-27,2020-01-25T23:49:15Z
2019-11-15,2019-12-23T15:17:39Z
2019-11-26,2020-02-25T06:25:00Z
2020-02-25,2019-08-25T21:00:43Z
2019-10-16,2020-01-09T01:57:51Z
2019-12-26,2020-03-24T20:12:15Z
2019-12-16,2019-10-14T16:56:40Z
2020-04-29,2020-04-05T01:23:13Z
2019-08-29,2019-08-22T16:48:18Z
2019-12-15,2020-05-27T17:26:14Z
2019-11-05,2019-07-02T21:46:46Z
2020-03-27,2020-06-08T19:11:45Z
2020-02-02,2019-06-27T18:20:22Z
2020-02-27,2020-06-11T02:51:40Z
2019-07-22,2019-12-24T01:30:26Z
2019-09-08,2019-07-09T12:22:57Z
2020-01-10,2020-04-10T18:41:17Z
2020-03-13,2020-05-25T03:44:59Z
2019-11-18,2019-10-09T06:09:11Z
2020-01-23,2019-10-27T06:29:04Z
2019-07-09,2020-03-03T06:23:34Z
2019-08-18,2020-04-07T12:41:50Z
2019-11-23,2020-06-08T17:30:40Z
2019-07-07,2020-06-02T11:56:07Z
2019-09-28,2019-10-20T03:57:27Z
2019-10-16,2019-09-02T14:24:56Z
2019-12-31,2020-05-16T10:11:49Z
2019-12-25,2020-03-20T04:24:02Z
2019-11-29,2019-10-29T14:31:08Z
2020-01-31,2019-09-11T15:07:54Z
2020-01-25,2019-09-19T05:03:10Z
2020-05-08,2020-03-22T06:48:51Z
2020-03-08,2020-01-08T05:43:31Z
2019-12-05,2020-05-04T13:21:07Z
2020-01-22,2019-06-22T15:58:28Z
2020-03-25,2020-04-06T23:20:39Z
2019-12-18,2020-02-12T02:27:01Z
2019-06-21,2020-05-30T03:09:01Z
2019-11-21,2020-01-16T22:11:03Z
2019-09-18,2019-09-04T09:33:31Z
2020-04-10,2020-02-26T22:04:05Z
2019-12-03,2019-12-15T03:45:59Z
2019-08-14,2020-01-23T22:47:10Z
2019-12-13,2019-11-04T04:14:27Z
2020-05-10,2019-09-28T14:20:01Z
2020-06-05,2019-12-08T22:33:47Z
2020-03-26,2019-12-20T12:25:05Z
2019-08-30,2020-02-04T11:27:49Z
2019-08-17,2020-05-16T03:02:25Z
2020-06-04,2020-03-11T15:30:43Z
2019-07-27,2020-02-16T08:07:55Z
2020-05-20,2019-12-02T08:25:25Z
2020-02-22,2019-08-25T04:42:48Z
2020-04-03,2019-09-22T02:31:10Z
2019-10-12,2020-01-18T05:30:40Z
2020-06-13,2019-09-15T09:44:52Z
2019-11-27,2019-10-11T01:10:14Z
2019-06-15,2019-11-13T08:07:35Z
2020-05-14,2020-06-01T10:06:45Z
2020-01-29,2019-09-10T15:08:25Z
2019-08-20,2019-10-08T18:50:34Z
2020-02-02,2020-05-26T14:12:19Z
2019-10-26,2020-05-24T06:46:11Z
2019-08-27,2019-10-28T04:26:41Z
2019-12-11,2019-12-11T17:58:25Z
2019-08-09,2019-12-31T18:08:22Z
2019-12-17,2020-01-31T17:22:02Z
2020-05-22,2019-08-04T05:22:42Z
2019-07-18,2019-10-24T10:45:21Z
2020-04-20,2019-11-08T21:44:22Z
2019-08-24,2020-04-23T07:07:58Z
2019-12-10,2020-04-30T10:37:33Z
2019-12-28,2020-02-14T08:02:01Z
2019-08-20,2019-07-25T10:23:45Z
2020-03-25,2020-04-19T03:10:21Z
2019-08-15,2019-11-17T02:44:06Z
2019-09-25,2019-07-01T17:13:05Z
2020-03-09,2019-08-17T13:43:07Z
2020-06-02,2020-05-15T23:57:13Z
2019-10-21,2019-11-25T13:40:18Z
2020-02-23,2020-06-05T22:56:43Z
2019-07-22,2019-12-29T22:37:25Z
2020-01-10,2020-05-07T01:44:18Z
2019-11-03,2019-10-10T12:28:15Z
2019-11-11,2020-04-02T17:43:43Z
2020-02-20,2019-07-06T20:58:22Z
2019-08-08,2019-10-09T12:09:50Z
2020-04-19,2019-07-14T17:22:59Z
2019-09-11,2019-06-25T04:12:07Z
2019-10-20,2019-12-03T06:17:35Z
2019-07-30,2019-07-22T06:55:38Z
2020-04-19,2019-11-01T01:19:12Z
2019-12-20,2020-03-19T23:48:22Z
2020-02-06,2019-11-28T03:13:07Z
2019-10-30,2020-04-12T01:49:20Z
2020-05-13,2019-08-01T20:42:13Z
2020-02-24,2019-11-11T17:55:21Z
2020-05-24,2020-01-08T18:16:39Z
2019-07-16,2019-10-11T10:45:34Z
2019-07-26,2019-12-08T02:45:38Z
2019-09-26,2019-07-30T16:48:59Z
2019-11-01,2019-10-16T03:23:57Z
2019-08-04,2019-07-25T04:16:28Z
2019-11-01,2020-01-22T05:52:09Z
2019-08-22,2020-06-03T19:39:03Z
2020-01-19,2020-06-01T03:55:31Z
2020-01-31,2020-05-24T09:31:34Z
2020-03-26,2019-11-17T20:18:59Z
2019-07-16,2019-09-24T19:19:02Z
2019-08-14,2020-06-11T08:54:13Z
2019-08-02,2020-05-02T06:47:39Z
2019-07-06,2019-12-05T06:24:45Z
2019-08-27,2020-04-07T03:10:20Z
2019-06-24,2020-06-12T18:06:13Z
2020-04-24,2019-06-22T11:06:31Z
2019-10-03,2020-02-08T09:09:16Z
2020-05-26,2019-10-18T15:38:40Z
2019-08-08,2019-10-18T17:10:45Z
2020-01-17,2019-08-18T05:12:40Z
2019-08-09,2020-04-12T03:49:29Z
2019-07-20,2020-04-01T13:50:59Z
2019-09-27,2019-11-18T05:23:12Z
2020-02-24,2019-10-12T07:02:20Z
2019-11-07,2020-04-16T06:49:30Z
2020-04-30,2019-08-24T07:23:50Z
2020-04-12,2019-12-24T02:01:46Z
2019-07-27,2019-07-25T14:30:33Z
2020-03-23,2020-02-18T03:42:33Z
2020-02-20,2020-02-14T22:18:43Z
2019-08-04,2019-07-25T22:49:32Z
2019-11-25,2019-11-16T13:22:14Z
2019-11-17,2019-10-11T09:18:57Z
2019-06-30,2020-03-12T00:44:33Z
2020-04-30,2020-02-15T23:36:21Z
2019-10-14,2019-08-19T20:43:01Z
2019-07-25,2019-07-06T10:51:30Z
2019-09-28,2020-01-03T18:36:05Z
2019-07-02,2020-06-13T16:02:53Z
2019-07-25,2019-08-29T15:00:53Z
2020-01-07,2019-10-20T17:51:20Z
2019-07-09,2020-01-26T05:21:53Z
2020-05-14,2020-01-07T06:53:50Z
2019-10-07,2020-05-23T05:20:35Z
2020-03-19,2020-06-08T10:13:48Z
2019-11-08,2020-03-02T08:00:23Z
2019-07-11,2019-12-29T13:29:59Z
2019-12-05,2020-02-04T12:27:34Z
2020-04-13,2020-03-14T10:00:55Z
2020-02-13,2020-03-30T11:44:28Z
2019-10-10,2019-08-24T09:57:41Z
2019-11-01,2020-03-29T09:41:52Z
2020-01-30,2020-06-09T06:58:47Z
2019-10-01,2019-06-25T12:47:23Z
2019-12-04,2019-11-14T09:52:21Z
2020-03-15,2019-08-05T10:45:38Z
2019-07-20,2020-05-27T07:12:28Z
2020-02-18,2020-02-19T04:36:15Z
2020-02-13,2020-04-15T02:47:14Z
2019-08-30,2019-07-09T02:24:24Z
2020-04-30,2020-05-25T02:05:29Z
2020-01-27,2019-10-06T13:13:18Z
2019-12-13,2019-09-28T15:23:18Z
2020-02-29,2020-03-19T21:16:52Z
2019-09-08,2019-09-02T18:40:01Z
2020-01-22,2019-07-30T01:23:16Z
2020-02-18,2020-03-20T03:36:11Z
2020-05-11,2020-04-30T18:40:38Z
2019-09-20,2019-06-30T06:29:47Z
2020-01-06,2019-09-08T01:35:33Z
2020-04-20,2020-02-17T04:05:18Z
2019-12-04,2020-02-02T05:48:11Z
2019-09-27,2020-03-16T17:20:06Z
2019-06-30,2020-03-06T02:15:58Z
2019-11-06,2020-01-22T04:08:00Z
2019-10-06,2019-08-07T06:22:36Z
2020-03-15,2020-01-07T04:03:47Z
2020-03-14,2019-10-04T15:38:45Z
2020-04-18,2019-10-10T08:45:54Z
2020-05-06,2019-12-17T06:40:56Z
2020-03-29,2020-05-28T15:52:46Z
2019-12-26,2019-11-14T23:59:48Z
2019-12-22,2020-04-19T03:20:50Z
2020-03-05,2019-07-28T11:27:36Z
2020-02-29,2019-09-20T09:44:49Z
2019-10-20,2019-06-26T01:15:57Z
2020-06-12,2019-11-27T04:50:33Z
2019-11-25,2019-07-12T17:58:11Z
2019-11-10,2019-07-13T23:34:01Z
2019-08-13,2020-06-02T00:24:08Z
2020-04-06,2019-12-06T14:26:11Z
2020-01-14,2020-01-24T10:18:24Z
2019-07-26,2020-06-10T08:51:37Z
2019-07-04,2020-03-18T09:15:58Z
2019-07-02,2019-12-28T18:10:22Z
2020-02-10,2020-01-14T05:10:16Z
2019-10-10,2020-05-24T19:52:48Z
2020-03-30,2020-03-20T18:38:59Z
2020-03-03,2020-04-18T17:26:32Z
2019-09-27,2019-12-09T20:21:25Z
2019-10-06,2020-03-29T01:16:42Z
2019-09-08,2020-03-03T03:36:10Z
2019-09-13,2019-09-21T00:26:47Z
2019-10-08,2020-03-17T07:26:24Z
2020-02-29,2019-10-28T22:35:46Z
2020-04-24,2019-10-01T00:14:12Z
2020-06-06,2019-07-21T23:33:26Z
2020-06-06,2020-03-05T20:14:02Z
2020-03-25,2019-07-06T15:49:56Z
2019-11-20,2020-03-29T22:14:01Z
2019-09-20,2019-12-17T09:58:01Z
